lr-AdamW,step,train/loss_sds,train/grad_norm,train/timestep,train_params/lambda_sds,train_params/lambda_normal_consistency,train_params/sd_loss,train_params/mv_sd_loss,train/min_step,train/max_step,epoch
0.01,99,,,,,,,,,,
,99,695.773681640625,74.60690307617188,364.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,199,,,,,,,,,,
,199,1255.3399658203125,100.21337127685547,696.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,299,,,,,,,,,,
,299,2061.52099609375,128.4218292236328,154.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,399,,,,,,,,,,
,399,838.505859375,81.90266418457031,772.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,499,,,,,,,,,,
,499,794.4276123046875,79.72089385986328,131.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,599,,,,,,,,,,
,599,672.1346435546875,73.32855987548828,395.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,699,,,,,,,,,,
,699,626.1729125976562,70.7770004272461,777.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,799,,,,,,,,,,
,799,826.9982299804688,81.33870697021484,553.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,899,,,,,,,,,,
,899,1644.9674072265625,114.71590423583984,549.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,999,,,,,,,,,,
,999,915.4539794921875,85.5782241821289,601.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1099,,,,,,,,,,
,1099,1055.0723876953125,91.87262725830078,262.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1199,,,,,,,,,,
,1199,2219.76513671875,133.2595977783203,772.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1299,,,,,,,,,,
,1299,1999.40869140625,126.47240447998047,258.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1399,,,,,,,,,,
,1399,413.8360595703125,57.53858184814453,170.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1499,,,,,,,,,,
,1499,1901.49560546875,123.3367919921875,332.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1599,,,,,,,,,,
,1599,1066.5869140625,92.37258911132812,654.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1699,,,,,,,,,,
,1699,963.9133911132812,87.81404876708984,892.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1799,,,,,,,,,,
,1799,1554.056640625,111.50091552734375,637.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1899,,,,,,,,,,
,1899,1714.53076171875,117.11637878417969,417.0,1.0,0.0,1.0,1.0,20.0,980.0,0
0.01,1999,,,,,,,,,,
,1999,1203.631591796875,98.12773895263672,886.0,1.0,0.0,1.0,1.0,20.0,980.0,0
